"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The family's lawyer said ICE knew that the U.S. army officer's mother was scheduled to self deport after 31 years i… https://t.co/4bpcN6LsRQ",FALSE,249,NA,2020-01-05 20:40:07,TRUE,NA,"1213923150729293828",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",123,FALSE,FALSE,NA,NA
"2","A drunk driver plowed into a group of young German tourists in northern Italy on Sunday, killing 6 people and injur… https://t.co/BTdqe05zUC",FALSE,95,NA,2020-01-05 20:20:05,TRUE,NA,"1213918109297467392",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",51,FALSE,FALSE,NA,NA
"3","Venezuelan lawmakers backing Nicolás Maduro blocked the re-election of Juan Guaidó as National Assembly president i… https://t.co/TpbR5bhfSH",FALSE,205,NA,2020-01-05 20:01:16,TRUE,NA,"1213913373068447747",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",117,FALSE,FALSE,NA,NA
"4","As foreign policy emerges as a top priority in the Democratic primary after the U.S. killed General Suleimani, Pete… https://t.co/C9gz6z96zd",FALSE,135,NA,2020-01-05 20:00:11,TRUE,NA,"1213913102946897923",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",27,FALSE,FALSE,NA,NA
"5","Thousands of people marched in New York City on Sunday in a show of solidarity for New York’s Jewish community foll… https://t.co/vdLyNr8AaI",FALSE,749,NA,2020-01-05 19:40:07,TRUE,NA,"1213908051331301381",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",151,FALSE,FALSE,NA,NA
"6","—Iran said it was ending its commitments under the 2015 nuclear deal and would no longer limit its uranium enrichme… https://t.co/hi1oJG6bsO",FALSE,701,NA,2020-01-05 19:30:06,TRUE,NA,"1213905530168721408",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",310,FALSE,FALSE,NA,NA
"7","As Boeing works to get the 737 Max back in the air after 2 deadly crashes, new safety issues have emerged that go b… https://t.co/ooH6cFspX7",FALSE,197,NA,2020-01-05 19:00:03,TRUE,NA,"1213897970132955142",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",102,FALSE,FALSE,NA,NA
"8","Secretary of State Mike Pompeo warned on Sunday that the U.S. could attack Iran if it took hostile actions against… https://t.co/FNk2vrjQDv",FALSE,356,NA,2020-01-05 18:51:39,TRUE,NA,"1213895853305454593",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",155,FALSE,FALSE,NA,NA
"9","“To steal on Christmas is really low and then, when you throw in that they're military families on top of that, it’… https://t.co/ulaTWls3aV",FALSE,166,NA,2020-01-05 18:40:04,TRUE,NA,"1213892938582937600",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",58,FALSE,FALSE,NA,NA
"10","News Analysis: ""As fire victims surveyed the destruction from the wildfires under orange skies, photos emerged of P… https://t.co/jKXdH7esjX",FALSE,243,NA,2020-01-05 18:20:04,TRUE,NA,"1213887906697371648",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",104,FALSE,FALSE,NA,NA
